(p1, p2, p3, p4)    X          A          B          C          D          E
(0, 0, 5, 95) 1469.069946 -17.529179 -15.957587 -42.941046 -13.85893 -1531.30358
(0, 0, 5, 95) 1489.030029 -18.139301 -16.113082 -43.657051 -14.073842 -1555.3002450000001
(0, 0, 5, 95) 1508.98999 -18.097867 -16.330076 -43.805083 -14.375937 -1584.73943
(0, 0, 5, 95) 1528.959961 -18.162542 -16.112775 -44.90417 -15.040767 -1653.3937150000002
(0, 0, 5, 95) 1548.920044 -17.9475 -15.9968 -45.378786 -15.261193 -1676.707265
(0, 0, 5, 95) 1578.859985 -17.801984 -15.952393 -46.146158 -15.593403 -1712.1040750000002
(0, 0, 5, 95) 1618.790039 -17.559385 -16.218627 -47.547345 -16.013746 -1759.0425950000001
(0, 0, 5, 95) 1658.709961 -17.346692 -16.074278 -48.28576 -16.521303 -1810.952585
(0, 0, 5, 95) 1698.630005 -17.01764 -15.882808 -49.35494 -17.058757 -1867.356615
(0, 0, 5, 95) 1738.560059 -16.645032 -15.818737 -50.01352 -17.441579 -1907.0176050000002
(0, 0, 5, 95) 1778.47998 -16.564689 -15.76057 -51.163844 -17.896856 -1956.02054
(0, 0, 5, 95) 1818.400024 -16.210917 -15.586095 -52.139073 -18.435492 -2012.067105
(0, 0, 5, 95) 1858.329956 -16.351713 -15.564905 -53.099751 -19.165529 -2086.22401
(0, 0, 5, 95) 1898.25 -16.566568 -15.779508 -54.441761 -19.717665 -2145.38698
(0, 0, 5, 95) 1938.180054 -16.636576 -15.947053 -55.500901 -20.510862 -2226.036395
(0, 0, 5, 95) 1978.099976 -16.864508 -16.285956 -57.112148 -21.390718 -2317.67895
(0, 0, 5, 95) 2018.02002 -17.191953 -16.719842 -59.041427 -22.002663 -2385.4601199999997
(0, 0, 5, 95) 2057.949951 -17.709791 -17.319164 -61.142838 -22.645079 -2456.9966950000003
(0, 0, 5, 95) 2097.870117 -18.234431 -18.007402 -62.942459 -23.319817 -2530.09491
(0, 0, 5, 95) 2137.800049 -18.823663 -18.795476 -65.147178 -24.677848 -2670.13145
(0, 0, 5, 95) 2177.719971 -19.456814 -19.407491 -67.414514 -25.657669 -2774.5511249999995
(0, 0, 5, 95) 2217.639893 -20.294509 -20.19025 -69.985969 -26.859816 -2901.612365
(0, 0, 5, 95) 2257.570068 -20.84746 -20.906272 -72.66539 -27.479684 -2973.89693
(0, 0, 5, 95) 2297.48999 -21.706305 -22.176852 -75.297133 -28.710375 -3103.97129
(0, 0, 5, 95) 2337.419922 -22.417325 -22.653518 -77.76339 -29.794874 -3219.32998
(0, 0, 5, 95) 2377.340088 -23.071398 -23.467812 -80.72993 -31.031553 -3351.647185
(0, 0, 5, 95) 2417.26001 -23.863078 -24.545043 -82.966045 -32.747166 -3525.8109950000003
(0, 0, 5, 95) 2457.189941 -24.257137 -25.491892 -85.218903 -33.985082 -3654.677305
(0, 0, 5, 95) 2497.110107 -24.407436 -26.072419 -87.635281 -35.053069 -3768.2179600000004
(0, 0, 5, 95) 2537.030029 -24.976559 -26.709105 -90.248585 -37.017797 -3967.93364
(0, 0, 5, 95) 2576.959961 -24.912069 -27.073729 -92.804411 -38.363639 -4108.56776
(0, 0, 5, 95) 2616.879883 -25.402314 -27.466604 -95.434037 -39.826242 -4260.663175000001
(0, 0, 5, 95) 2656.810059 -25.602057 -28.392224 -97.459229 -41.435426 -4423.661615
